episode,total_reward,best_reward,agent.epsilon
187,-1010.0,-571.0,0.005
188,-639.0,-571.0,0.005
189,-802.0,-571.0,0.005
190,-986.0,-571.0,0.005
191,-653.0,-571.0,0.005
192,-924.0,-571.0,0.005
193,-731.0,-571.0,0.005
194,-920.0,-571.0,0.005
195,-1137.0,-571.0,0.005
196,-867.0,-571.0,0.005
197,-742.0,-571.0,0.005
198,-497.0,-497.0,0.005
199,-1397.0,-497.0,0.005
200,-674.0,-497.0,0.005
201,-657.0,-497.0,0.005
202,-1227.0,-497.0,0.005
203,-767.0,-497.0,0.005
204,-960.0,-497.0,0.005
205,-571.0,-497.0,0.005
206,-567.0,-497.0,0.005
207,-937.0,-497.0,0.005
208,-909.0,-497.0,0.005
209,-1186.0,-497.0,0.005
210,-474.0,-474.0,0.005
211,-982.0,-474.0,0.005
212,-653.0,-474.0,0.005
213,-734.0,-474.0,0.005
214,-927.0,-474.0,0.005
215,-727.0,-474.0,0.005
216,-894.0,-474.0,0.005
217,-1052.0,-474.0,0.005
218,-524.0,-474.0,0.005
219,-653.0,-474.0,0.005
220,-816.0,-474.0,0.005
221,-1188.0,-474.0,0.005
222,-611.0,-474.0,0.005
223,-715.0,-474.0,0.005
224,-776.0,-474.0,0.005
225,-892.0,-474.0,0.005
226,-786.0,-474.0,0.005
227,-764.0,-474.0,0.005
228,-717.0,-474.0,0.005
229,-637.0,-474.0,0.005
230,-685.0,-474.0,0.005
231,-632.0,-474.0,0.005
232,-700.0,-474.0,0.005
233,-748.0,-474.0,0.005
234,-694.0,-474.0,0.005
235,-1057.0,-474.0,0.005
236,-752.0,-474.0,0.005
237,-616.0,-474.0,0.005
238,-997.0,-474.0,0.005
239,-1060.0,-474.0,0.005
240,-336.0,-336.0,0.005
241,-959.0,-336.0,0.005
242,-574.0,-336.0,0.005
243,-503.0,-336.0,0.005
244,-779.0,-336.0,0.005
245,-587.0,-336.0,0.005
246,-1093.0,-336.0,0.005
247,-508.0,-336.0,0.005
248,-617.0,-336.0,0.005
249,-1062.0,-336.0,0.005
250,-474.0,-336.0,0.005
251,-688.0,-336.0,0.005
252,-833.0,-336.0,0.005
253,-613.0,-336.0,0.005
254,-1120.0,-336.0,0.005
255,-504.0,-336.0,0.005
256,-915.0,-336.0,0.005
257,-662.0,-336.0,0.005
258,-479.0,-336.0,0.005
259,-777.0,-336.0,0.005
260,-477.0,-336.0,0.005
261,-1237.0,-336.0,0.005
262,-750.0,-336.0,0.005
263,-766.0,-336.0,0.005
264,-562.0,-336.0,0.005
265,-767.0,-336.0,0.005
266,-683.0,-336.0,0.005
267,-744.0,-336.0,0.005
268,-678.0,-336.0,0.005
269,-678.0,-336.0,0.005
270,-718.0,-336.0,0.005
271,-579.0,-336.0,0.005
272,-599.0,-336.0,0.005
273,-878.0,-336.0,0.005
274,-689.0,-336.0,0.005
275,-778.0,-336.0,0.005
276,-659.0,-336.0,0.005
277,-489.0,-336.0,0.005
