Episode,Reward,Average_Reward,Episode_Length
0,-22204.0,-22204.0,0.005
1,-3408.0,-3408.0,0.005
2,-2475.0,-2475.0,0.005
3,-810.0,-810.0,0.005
4,-2536.0,-810.0,0.005
5,-974.0,-810.0,0.005
6,-857.0,-810.0,0.005
7,-1057.0,-810.0,0.005
8,-849.0,-810.0,0.005
9,-1456.0,-810.0,0.005
10,-652.0,-652.0,0.005
11,-1218.0,-652.0,0.005
12,-757.0,-652.0,0.005
13,-621.0,-621.0,0.005
14,-885.0,-621.0,0.005
15,-1032.0,-621.0,0.005
16,-560.0,-560.0,0.005
17,-771.0,-560.0,0.005
18,-759.0,-560.0,0.005
19,-651.0,-560.0,0.005
20,-642.0,-560.0,0.005
21,-865.0,-560.0,0.005
22,-650.0,-560.0,0.005
23,-591.0,-560.0,0.005
24,-521.0,-521.0,0.005
25,-825.0,-521.0,0.005
26,-552.0,-521.0,0.005
27,-484.0,-484.0,0.005
28,-569.0,-484.0,0.005
29,-501.0,-484.0,0.005
30,-562.0,-484.0,0.005
31,-613.0,-484.0,0.005
32,-613.0,-484.0,0.005
33,-511.0,-484.0,0.005
34,-561.0,-484.0,0.005
35,-636.0,-484.0,0.005
36,-636.0,-484.0,0.005
37,-679.0,-484.0,0.005
38,-599.0,-484.0,0.005
39,-593.0,-484.0,0.005
40,-922.0,-484.0,0.005
41,-480.0,-480.0,0.005
42,-558.0,-480.0,0.005
43,-562.0,-480.0,0.005
44,-599.0,-480.0,0.005
45,-439.0,-439.0,0.005
46,-383.0,-383.0,0.005
47,-538.0,-383.0,0.005
48,-839.0,-383.0,0.005
49,-430.0,-383.0,0.005
50,-443.0,-383.0,0.005
51,-501.0,-383.0,0.005
52,-622.0,-383.0,0.005
53,-585.0,-383.0,0.005
54,-283.0,-283.0,0.005
55,-643.0,-283.0,0.005
56,-565.0,-283.0,0.005
57,-402.0,-283.0,0.005
58,-402.0,-283.0,0.005
59,-449.0,-283.0,0.005
60,-402.0,-283.0,0.005
61,-600.0,-283.0,0.005
62,-465.0,-283.0,0.005
63,-542.0,-283.0,0.005
64,-437.0,-283.0,0.005
65,-423.0,-283.0,0.005
66,-436.0,-283.0,0.005
67,-359.0,-283.0,0.005
68,-364.0,-283.0,0.005
69,-560.0,-283.0,0.005
70,-413.0,-283.0,0.005
71,-333.0,-283.0,0.005
72,-620.0,-283.0,0.005
73,-405.0,-283.0,0.005
74,-402.0,-283.0,0.005
75,-410.0,-283.0,0.005
76,-569.0,-283.0,0.005
77,-483.0,-283.0,0.005
78,-268.0,-268.0,0.005
79,-490.0,-268.0,0.005
80,-399.0,-268.0,0.005
81,-358.0,-268.0,0.005
82,-396.0,-268.0,0.005
83,-250.0,-250.0,0.005
84,-600.0,-250.0,0.005
85,-333.0,-250.0,0.005
86,-324.0,-250.0,0.005
